source_name,source_url,original_url,final_url,canonical_url,normalized_canonical_key,discovery_method,candidate_score,matched_regex,article_type_signal,title_source,datetime_source,description_source,ok,status_code,error,blocked_flag,headline,headline_preview,event_datetime_original,event_datetime_ist,trade_date_ist,keyword_relevance_score,extraction_quality,kept,reject_stage,reject_reason
Al Jazeera,https://www.aljazeera.com/economy/2026/6/3/us-cites-forced-labour-concerns-as-grounds-for-new-tariffs,https://www.aljazeera.com/economy/2026/6/3/us-cites-forced-labour-concerns-as-grounds-for-new-tariffs,https://www.aljazeera.com/economy/2026/6/3/us-cites-forced-labour-concerns-as-grounds-for-new-tariffs,https://www.aljazeera.com/economy/2026/6/3/us-cites-forced-labour-concerns-as-grounds-for-new-tariffs,aljazeera.com/economy/2026/6/3/us-cites-forced-labour-concerns-as-grounds-for-new-tariffs,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,US cites forced labour concerns as grounds for new tariffs,US cites forced labour concerns as grounds for new tariffs,parsed_direct,2026-06-03 22:40:40+05:30,2026-06-03,11,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/economy/2026/6/3/iran-faces-a-new-energy-imbalance-but-its-options-are-limited,https://www.aljazeera.com/economy/2026/6/3/iran-faces-a-new-energy-imbalance-but-its-options-are-limited,https://www.aljazeera.com/economy/2026/6/3/iran-faces-a-new-energy-imbalance-but-its-options-are-limited,https://www.aljazeera.com/economy/2026/6/3/iran-faces-a-new-energy-imbalance-but-its-options-are-limited,aljazeera.com/economy/2026/6/3/iran-faces-a-new-energy-imbalance-but-its-options-are-limited,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,"Iran faces a new energy imbalance, but its options are limited","Iran faces a new energy imbalance, but its options are limited",parsed_direct,2026-06-03 23:49:26+05:30,2026-06-03,17,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/egypt-sentences-activist-douma-to-prison-three-years-after-pardon,https://www.aljazeera.com/news/2026/6/3/egypt-sentences-activist-douma-to-prison-three-years-after-pardon,https://www.aljazeera.com/news/2026/6/3/egypt-sentences-activist-douma-to-prison-three-years-after-pardon,https://www.aljazeera.com/news/2026/6/3/egypt-sentences-activist-douma-to-prison-three-years-after-pardon,aljazeera.com/news/2026/6/3/egypt-sentences-activist-douma-to-prison-three-years-after-pardon,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,‘Disgraceful’: Egypt jails activist Douma after article on its prisons,‘Disgraceful’: Egypt jails activist Douma after article on its prisons,parsed_direct,2026-06-03 22:33:14+05:30,2026-06-03,12,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/features/2026/6/3/israeli-settlers-are-driving-palestinian-shepherds-from-their-grazing-lands,https://www.aljazeera.com/features/2026/6/3/israeli-settlers-are-driving-palestinian-shepherds-from-their-grazing-lands,https://www.aljazeera.com/features/2026/6/3/israeli-settlers-are-driving-palestinian-shepherds-from-their-grazing-lands,https://www.aljazeera.com/features/2026/6/3/israeli-settlers-are-driving-palestinian-shepherds-from-their-grazing-lands,aljazeera.com/features/2026/6/3/israeli-settlers-are-driving-palestinian-shepherds-from-their-grazing-lands,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Israeli settlers are driving Palestinian shepherds from their grazing lands,Israeli settlers are driving Palestinian shepherds from their grazing lands,parsed_direct,2026-06-03 22:09:55+05:30,2026-06-03,12,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/bangladeshs-rahman-elected-un-general-assembly-president-in-tight-race,https://www.aljazeera.com/news/2026/6/3/bangladeshs-rahman-elected-un-general-assembly-president-in-tight-race,https://www.aljazeera.com/news/2026/6/3/bangladeshs-rahman-elected-un-general-assembly-president-in-tight-race,https://www.aljazeera.com/news/2026/6/3/bangladeshs-rahman-elected-un-general-assembly-president-in-tight-race,aljazeera.com/news/2026/6/3/bangladeshs-rahman-elected-un-general-assembly-president-in-tight-race,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Bangladesh’s top diplomat elected UN General Assembly leader in tight race,Bangladesh’s top diplomat elected UN General Assembly leader in tight race,parsed_direct,2026-06-03 22:14:51+05:30,2026-06-03,8,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/fbi-agents-fatally-shoot-alleged-hostage-taker-in-california,https://www.aljazeera.com/news/2026/6/3/fbi-agents-fatally-shoot-alleged-hostage-taker-in-california,https://www.aljazeera.com/news/2026/6/3/fbi-agents-fatally-shoot-alleged-hostage-taker-in-california,https://www.aljazeera.com/news/2026/6/3/fbi-agents-fatally-shoot-alleged-hostage-taker-in-california,aljazeera.com/news/2026/6/3/fbi-agents-fatally-shoot-alleged-hostage-taker-in-california,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,FBI agents fatally shoot alleged hostage-taker in California,FBI agents fatally shoot alleged hostage-taker in California,parsed_direct,2026-06-03 20:48:16+05:30,2026-06-03,16,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/defence-energy-halal-sectors-top-agenda-in-turkiye-indonesia-talks,https://www.aljazeera.com/news/2026/6/3/defence-energy-halal-sectors-top-agenda-in-turkiye-indonesia-talks,https://www.aljazeera.com/news/2026/6/3/defence-energy-halal-sectors-top-agenda-in-turkiye-indonesia-talks,https://www.aljazeera.com/news/2026/6/3/defence-energy-halal-sectors-top-agenda-in-turkiye-indonesia-talks,aljazeera.com/news/2026/6/3/defence-energy-halal-sectors-top-agenda-in-turkiye-indonesia-talks,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,"Turkiye’s top diplomat, Indonesia’s president discuss $10bn trade goal","Turkiye’s top diplomat, Indonesia’s president discuss $10bn trade goal",parsed_direct,2026-06-03 20:59:31+05:30,2026-06-03,8,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/hilton-becerra-lead-california-governor-race-key-primary-election-results,https://www.aljazeera.com/news/2026/6/3/hilton-becerra-lead-california-governor-race-key-primary-election-results,https://www.aljazeera.com/news/2026/6/3/hilton-becerra-lead-california-governor-race-key-primary-election-results,https://www.aljazeera.com/news/2026/6/3/hilton-becerra-lead-california-governor-race-key-primary-election-results,aljazeera.com/news/2026/6/3/hilton-becerra-lead-california-governor-race-key-primary-election-results,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,"California showdown, Trump setback: Key primary election results","California showdown, Trump setback: Key primary election results",parsed_direct,2026-06-03 15:22:13+05:30,2026-06-03,5,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/doesnt-seem-qualified-who-is-bill-pulte-acting-us-intelligence-chief,https://www.aljazeera.com/news/2026/6/3/doesnt-seem-qualified-who-is-bill-pulte-acting-us-intelligence-chief,https://www.aljazeera.com/news/2026/6/3/doesnt-seem-qualified-who-is-bill-pulte-acting-us-intelligence-chief,https://www.aljazeera.com/news/2026/6/3/doesnt-seem-qualified-who-is-bill-pulte-acting-us-intelligence-chief,aljazeera.com/news/2026/6/3/doesnt-seem-qualified-who-is-bill-pulte-acting-us-intelligence-chief,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,"‘Doesn’t seem qualified’: Who is Bill Pulte, acting US intelligence chief?","‘Doesn’t seem qualified’: Who is Bill Pulte, acting US intelligence chief?",parsed_direct,2026-06-03 19:54:51+05:30,2026-06-03,9,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/does-uks-new-far-right-party-restore-pose-a-threat-to-farages-reform,https://www.aljazeera.com/news/2026/6/3/does-uks-new-far-right-party-restore-pose-a-threat-to-farages-reform,https://www.aljazeera.com/news/2026/6/3/does-uks-new-far-right-party-restore-pose-a-threat-to-farages-reform,https://www.aljazeera.com/news/2026/6/3/does-uks-new-far-right-party-restore-pose-a-threat-to-farages-reform,aljazeera.com/news/2026/6/3/does-uks-new-far-right-party-restore-pose-a-threat-to-farages-reform,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Reform or Restore? The question tearing the UK’s far-right in two,Reform or Restore? The question tearing the UK’s far-right in two,parsed_direct,2026-06-03 17:57:43+05:30,2026-06-03,14,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/fire-at-new-delhi-hotel-kills-at-least-21-people,https://www.aljazeera.com/news/2026/6/3/fire-at-new-delhi-hotel-kills-at-least-21-people,https://www.aljazeera.com/news/2026/6/3/fire-at-new-delhi-hotel-kills-at-least-21-people,https://www.aljazeera.com/news/2026/6/3/fire-at-new-delhi-hotel-kills-at-least-21-people,aljazeera.com/news/2026/6/3/fire-at-new-delhi-hotel-kills-at-least-21-people,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,"Fire at New Delhi hotel kills at least 21 people, including 18 foreigners","Fire at New Delhi hotel kills at least 21 people, including 18 foreigners",parsed_direct,2026-06-03 15:11:46+05:30,2026-06-03,10,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/news/2026/6/3/democrat-and-republican-go-head-to-head-in-california-governor-race,https://www.aljazeera.com/news/2026/6/3/democrat-and-republican-go-head-to-head-in-california-governor-race,https://www.aljazeera.com/news/2026/6/3/democrat-and-republican-go-head-to-head-in-california-governor-race,https://www.aljazeera.com/news/2026/6/3/democrat-and-republican-go-head-to-head-in-california-governor-race,aljazeera.com/news/2026/6/3/democrat-and-republican-go-head-to-head-in-california-governor-race,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Democrat and Republican go head-to-head in California governor race,Democrat and Republican go head-to-head in California governor race,parsed_direct,2026-06-03 14:38:15+05:30,2026-06-03,8,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/gallery/2026/6/3/foreign-nationals-among-21-dead-in-new-delhi-building-fire,https://www.aljazeera.com/gallery/2026/6/3/foreign-nationals-among-21-dead-in-new-delhi-building-fire,https://www.aljazeera.com/gallery/2026/6/3/foreign-nationals-among-21-dead-in-new-delhi-building-fire,https://www.aljazeera.com/gallery/2026/6/3/foreign-nationals-among-21-dead-in-new-delhi-building-fire,aljazeera.com/gallery/2026/6/3/foreign-nationals-among-21-dead-in-new-delhi-building-fire,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,Photos: Foreign nationals among 21 dead in New Delhi building fire,Photos: Foreign nationals among 21 dead in New Delhi building fire,parsed_direct,2026-06-03 14:20:19+05:30,2026-06-03,2,extracted_verified,True,,
Al Jazeera,https://www.aljazeera.com/economy/2026/6/3/us-broadcaster-cbs-fires-60-minutess-scott-pelley-after-clash-with-bosses,https://www.aljazeera.com/economy/2026/6/3/us-broadcaster-cbs-fires-60-minutess-scott-pelley-after-clash-with-bosses,https://www.aljazeera.com/economy/2026/6/3/us-broadcaster-cbs-fires-60-minutess-scott-pelley-after-clash-with-bosses,https://www.aljazeera.com/economy/2026/6/3/us-broadcaster-cbs-fires-60-minutess-scott-pelley-after-clash-with-bosses,aljazeera.com/economy/2026/6/3/us-broadcaster-cbs-fires-60-minutess-scott-pelley-after-clash-with-bosses,sitemap,,,high,og:title,jsonld:datePublished,og:description,True,200,,False,US broadcaster CBS fires 60 Minutes’s Scott Pelley after clash with bosses,US broadcaster CBS fires 60 Minutes’s Scott Pelley after clash with bosses,parsed_direct,2026-06-03 12:52:06+05:30,2026-06-03,12,extracted_verified,True,,
