stream,session_window_ist,phase_id,phase_label,n_total,n_valid,n_up,n_down,n_flat,pct_up,pct_down,pct_flat,mean_return_pct,median_return_pct,std_return_pct,low_confidence_flag,p_up_vs_random,p_down_vs_random,q_up,q_down
BRENT_session,other_valid_hours,3.0,strong_escalation_op_rising_lion,4,4,2,1,1,50.0,25.0,25.0,0.1878782075895462,0.2299690691639452,1.394578677969541,True,0.6049382716049383,1.0,0.7777777777777778,1.0
BRENT_session,us_open,3.0,strong_escalation_op_rising_lion,8,8,2,2,4,25.0,25.0,50.0,-0.2461975809571333,0.0949159008210825,1.4074279205004103,False,1.0,1.0,1.0,1.0
BRENT_session,us_pre_open,3.0,strong_escalation_op_rising_lion,4,4,2,2,0,50.0,50.0,0.0,-0.0070494099507619,0.1545955492749846,1.647433691754745,True,0.6049382716049383,0.6049382716049383,0.7777777777777778,0.9074074074074074
BRENT_session,europe_midday,4.0,naval_blockade_removed,4,4,2,1,1,50.0,25.0,25.0,0.356684372260428,0.5449588850309912,0.8854997247766311,True,0.6049382716049383,1.0,1.0,1.0
BRENT_session,global_reopen_pre_mcx,4.0,naval_blockade_removed,5,5,0,3,2,0.0,60.0,40.0,-0.4422900875874737,-0.6186842031185158,0.4783994882531741,False,0.176954732510288,0.3415637860082304,0.530864197530864,0.7685185185185184
BRENT_session,india_midday,4.0,naval_blockade_removed,4,4,1,2,1,25.0,50.0,25.0,-0.4020352492397946,-0.4076877429484185,0.9665341058737456,True,1.0,0.6049382716049383,1.0,0.7777777777777778
BRENT_session,india_morning,4.0,naval_blockade_removed,4,4,0,0,4,0.0,0.0,100.0,0.0663376572814115,0.0253097986981349,0.1188525477600638,True,0.30864197530864196,0.30864197530864196,0.6944444444444444,0.7685185185185184
BRENT_session,mcx_open_drive,4.0,naval_blockade_removed,5,5,0,2,3,0.0,40.0,60.0,-0.2537136596570598,-0.2771145253689368,0.257564194447261,False,0.176954732510288,1.0,0.530864197530864,1.0
BRENT_session,mcx_tail,4.0,naval_blockade_removed,4,4,3,0,1,75.0,0.0,25.0,0.8116973643392551,0.5766119309604111,0.87055597057058,True,0.11111111111111112,0.30864197530864196,0.530864197530864,0.7685185185185184
BRENT_session,other_valid_hours,4.0,naval_blockade_removed,4,4,1,2,1,25.0,50.0,25.0,-0.1869298465699348,-0.0937070802004994,0.7926988714064424,True,1.0,0.6049382716049383,1.0,0.7777777777777778
BRENT_session,us_open,4.0,naval_blockade_removed,8,8,3,4,1,37.5,50.0,12.5,-0.1029317114416315,-0.1582934058436267,0.9060316169860434,False,1.0,0.4537418076512728,1.0,0.7777777777777778
