stream,session_window_ist,phase_id,phase_label,n_total,n_valid,n_up,n_down,n_flat,pct_up,pct_down,pct_flat,mean_return_pct,median_return_pct,std_return_pct,low_confidence_flag
BRENT_session,europe_midday,2.0,post_ceasefire_complex,43,43,8,22,13,18.6046511627907,51.162790697674424,30.23255813953488,-0.37403069650465515,-0.31143262333157984,1.0323613265162492,False
BRENT_session,global_reopen_pre_mcx,2.0,post_ceasefire_complex,41,41,17,13,11,41.46341463414634,31.70731707317073,26.82926829268293,-0.14434856842075028,0.17939865461475704,1.6134420872238504,False
BRENT_session,india_midday,2.0,post_ceasefire_complex,43,43,17,21,5,39.53488372093023,48.837209302325576,11.627906976744185,-0.4901266129746834,-0.28443509417971696,2.380596978821256,False
BRENT_session,india_morning,2.0,post_ceasefire_complex,42,42,21,13,8,50.0,30.952380952380953,19.047619047619047,0.08467750671115824,0.2827657550497591,0.695425221759847,False
BRENT_session,mcx_open_drive,2.0,post_ceasefire_complex,42,42,10,8,24,23.809523809523807,19.047619047619047,57.14285714285714,0.018590666335605736,-0.06491413948506564,0.3889380615233858,False
BRENT_session,mcx_tail,2.0,post_ceasefire_complex,43,43,10,12,21,23.25581395348837,27.906976744186046,48.837209302325576,-0.07404928538583797,-0.0624779347727066,0.7953011824623069,False
BRENT_session,other_valid_hours,2.0,post_ceasefire_complex,42,42,14,9,19,33.33333333333333,21.428571428571427,45.23809523809524,0.1360068973495056,-0.03237526023203076,0.933786997874372,False
BRENT_session,us_open,2.0,post_ceasefire_complex,86,86,37,31,18,43.02325581395349,36.04651162790697,20.930232558139537,0.1585805027114678,0.1512312500481398,1.395720879960527,False
BRENT_session,us_pre_open,2.0,post_ceasefire_complex,43,43,21,18,4,48.837209302325576,41.86046511627907,9.30232558139535,0.16268793742279433,0.1465235041950054,2.3900128917860997,False
BRENT_session,europe_midday,3.0,strong_escalation_op_rising_lion,4,4,3,0,1,75.0,0.0,25.0,0.7867794929541819,0.6736447769413543,0.9676955947632534,True
BRENT_session,global_reopen_pre_mcx,3.0,strong_escalation_op_rising_lion,4,4,1,1,2,25.0,25.0,50.0,-0.051085317243092065,-0.019732930874803642,0.7103843646157011,True
BRENT_session,india_midday,3.0,strong_escalation_op_rising_lion,4,4,0,4,0,0.0,100.0,0.0,-1.0952707739313619,-1.028823355496511,0.664312696420699,True
BRENT_session,india_morning,3.0,strong_escalation_op_rising_lion,4,4,0,2,2,0.0,50.0,50.0,-0.3419850664973741,-0.3458576056678586,0.3393262260298711,True
BRENT_session,mcx_open_drive,3.0,strong_escalation_op_rising_lion,4,4,0,3,1,0.0,75.0,25.0,-0.4060452824103309,-0.5008800467529145,0.40113726163825314,True
BRENT_session,mcx_tail,3.0,strong_escalation_op_rising_lion,4,4,0,2,2,0.0,50.0,50.0,-0.3522004774130568,-0.18650795340158305,0.8136166701566493,True
BRENT_session,other_valid_hours,3.0,strong_escalation_op_rising_lion,4,4,2,1,1,50.0,25.0,25.0,0.18787820758954626,0.22996906916394524,1.394578677969541,True
BRENT_session,us_open,3.0,strong_escalation_op_rising_lion,8,8,2,2,4,25.0,25.0,50.0,-0.24619758095713334,0.09491590082108257,1.4074279205004105,False
BRENT_session,us_pre_open,3.0,strong_escalation_op_rising_lion,4,4,2,2,0,50.0,50.0,0.0,-0.007049409950761976,0.15459554927498467,1.647433691754745,True
BRENT_session,europe_midday,4.0,naval_blockade_removed,4,4,2,1,1,50.0,25.0,25.0,0.356684372260428,0.5449588850309912,0.8854997247766311,True
BRENT_session,global_reopen_pre_mcx,4.0,naval_blockade_removed,5,5,0,3,2,0.0,60.0,40.0,-0.44229008758747373,-0.6186842031185158,0.47839948825317413,False
BRENT_session,india_midday,4.0,naval_blockade_removed,4,4,1,2,1,25.0,50.0,25.0,-0.40203524923979467,-0.40768774294841853,0.9665341058737457,True
BRENT_session,india_morning,4.0,naval_blockade_removed,4,4,0,0,4,0.0,0.0,100.0,0.06633765728141158,0.025309798698134954,0.11885254776006389,True
BRENT_session,mcx_open_drive,4.0,naval_blockade_removed,5,5,0,2,3,0.0,40.0,60.0,-0.2537136596570598,-0.2771145253689368,0.257564194447261,False
BRENT_session,mcx_tail,4.0,naval_blockade_removed,4,4,3,0,1,75.0,0.0,25.0,0.8116973643392551,0.5766119309604111,0.87055597057058,True
BRENT_session,other_valid_hours,4.0,naval_blockade_removed,4,4,1,2,1,25.0,50.0,25.0,-0.18692984656993486,-0.09370708020049945,0.7926988714064424,True
BRENT_session,us_open,4.0,naval_blockade_removed,8,8,3,4,1,37.5,50.0,12.5,-0.10293171144163155,-0.15829340584362678,0.9060316169860434,False
BRENT_session,us_pre_open,4.0,naval_blockade_removed,4,4,1,3,0,25.0,75.0,0.0,-0.7405904454954192,-0.720424871149974,1.1749307904583652,True
BRENT_session,europe_midday,5.0,slight_escalation_strait_closure,11,11,5,5,1,45.45454545454545,45.45454545454545,9.090909090909092,-0.037361523912927075,0.11077517121094352,0.7410040432893034,False
BRENT_session,global_reopen_pre_mcx,5.0,slight_escalation_strait_closure,12,12,3,6,3,25.0,50.0,25.0,-0.46355208139470316,-0.3835327716252264,1.108956952857126,False
BRENT_session,india_midday,5.0,slight_escalation_strait_closure,11,11,5,4,2,45.45454545454545,36.36363636363637,18.181818181818183,-0.12834884754585005,-0.09917779567164833,0.965725516969192,False
BRENT_session,india_morning,5.0,slight_escalation_strait_closure,11,11,2,2,7,18.181818181818183,18.181818181818183,63.63636363636363,-0.07577254105020313,-0.013659300601289755,0.42227077146394726,False
BRENT_session,mcx_open_drive,5.0,slight_escalation_strait_closure,12,12,3,3,6,25.0,25.0,50.0,-0.01856906331599093,0.0068946602764097835,0.24659906178812296,False
BRENT_session,mcx_tail,5.0,slight_escalation_strait_closure,11,11,4,1,6,36.36363636363637,9.090909090909092,54.54545454545454,0.1574318836643504,0.14923431199695542,0.2955954567254181,False
BRENT_session,other_valid_hours,5.0,slight_escalation_strait_closure,11,11,3,6,2,27.27272727272727,54.54545454545454,18.181818181818183,0.2737256695238916,-0.3343519978811604,1.356917567172033,False
BRENT_session,us_open,5.0,slight_escalation_strait_closure,22,22,10,6,6,45.45454545454545,27.27272727272727,27.27272727272727,0.041455716600290064,0.006438869728119011,0.5228029332851962,False
BRENT_session,us_pre_open,5.0,slight_escalation_strait_closure,11,11,5,6,0,45.45454545454545,54.54545454545454,0.0,-0.15332954459220363,-0.34927743347344753,1.208621770539716,False
BRENT_session,europe_midday,6.0,ceasefire_collapse_renewed_escalation,3,3,2,1,0,66.66666666666666,33.33333333333333,0.0,0.3717635093524578,0.6016302783604311,1.0506622619461718,True
BRENT_session,global_reopen_pre_mcx,6.0,ceasefire_collapse_renewed_escalation,3,3,0,1,2,0.0,33.33333333333333,66.66666666666666,0.017203053128589052,0.09211699167166784,0.5629866588507489,True
BRENT_session,india_midday,6.0,ceasefire_collapse_renewed_escalation,3,3,1,0,2,33.33333333333333,0.0,66.66666666666666,1.0488722007663551,0.3083318361831278,1.738530633018285,True
BRENT_session,india_morning,6.0,ceasefire_collapse_renewed_escalation,3,3,0,1,2,0.0,33.33333333333333,66.66666666666666,-0.5125355058028135,-0.5090711224313614,0.8424000805400567,True
BRENT_session,mcx_open_drive,6.0,ceasefire_collapse_renewed_escalation,3,3,0,0,3,0.0,0.0,100.0,0.07425772746398955,0.0523229713484029,0.07500477606113687,True
