stream,session_window_ist,phase_id,phase_label,magnitude_tier,count,pct,n_total,low_confidence_flag
BRENT_session,us_open,6,ceasefire_collapse_renewed_escalation,Q1_0_25,2,33.33333333333333,6,False
BRENT_session,us_open,6,ceasefire_collapse_renewed_escalation,Q2_25_50,2,33.33333333333333,6,False
BRENT_session,us_open,6,ceasefire_collapse_renewed_escalation,Q3_50_75,2,33.33333333333333,6,False
BRENT_session,europe_midday,7,sustained_major_reescalation_hormuz_war,Q1_0_25,3,30.0,10,False
BRENT_session,europe_midday,7,sustained_major_reescalation_hormuz_war,Q2_25_50,2,20.0,10,False
BRENT_session,europe_midday,7,sustained_major_reescalation_hormuz_war,Q3_50_75,3,30.0,10,False
BRENT_session,europe_midday,7,sustained_major_reescalation_hormuz_war,Q4_75_90,2,20.0,10,False
BRENT_session,global_reopen_pre_mcx,7,sustained_major_reescalation_hormuz_war,Q1_0_25,3,30.0,10,False
BRENT_session,global_reopen_pre_mcx,7,sustained_major_reescalation_hormuz_war,Q2_25_50,1,10.0,10,False
BRENT_session,global_reopen_pre_mcx,7,sustained_major_reescalation_hormuz_war,Q3_50_75,3,30.0,10,False
BRENT_session,global_reopen_pre_mcx,7,sustained_major_reescalation_hormuz_war,Q4_75_90,2,20.0,10,False
BRENT_session,global_reopen_pre_mcx,7,sustained_major_reescalation_hormuz_war,Q5_90_100,1,10.0,10,False
BRENT_session,india_midday,7,sustained_major_reescalation_hormuz_war,Q1_0_25,2,20.0,10,False
BRENT_session,india_midday,7,sustained_major_reescalation_hormuz_war,Q2_25_50,3,30.0,10,False
BRENT_session,india_midday,7,sustained_major_reescalation_hormuz_war,Q3_50_75,1,10.0,10,False
BRENT_session,india_midday,7,sustained_major_reescalation_hormuz_war,Q4_75_90,2,20.0,10,False
BRENT_session,india_midday,7,sustained_major_reescalation_hormuz_war,Q5_90_100,2,20.0,10,False
BRENT_session,india_morning,7,sustained_major_reescalation_hormuz_war,Q1_0_25,3,30.0,10,False
BRENT_session,india_morning,7,sustained_major_reescalation_hormuz_war,Q2_25_50,1,10.0,10,False
BRENT_session,india_morning,7,sustained_major_reescalation_hormuz_war,Q3_50_75,4,40.0,10,False
BRENT_session,india_morning,7,sustained_major_reescalation_hormuz_war,Q4_75_90,1,10.0,10,False
BRENT_session,india_morning,7,sustained_major_reescalation_hormuz_war,Q5_90_100,1,10.0,10,False
BRENT_session,mcx_open_drive,7,sustained_major_reescalation_hormuz_war,Q1_0_25,3,30.0,10,False
BRENT_session,mcx_open_drive,7,sustained_major_reescalation_hormuz_war,Q2_25_50,3,30.0,10,False
BRENT_session,mcx_open_drive,7,sustained_major_reescalation_hormuz_war,Q3_50_75,2,20.0,10,False
BRENT_session,mcx_open_drive,7,sustained_major_reescalation_hormuz_war,Q4_75_90,1,10.0,10,False
BRENT_session,mcx_open_drive,7,sustained_major_reescalation_hormuz_war,Q5_90_100,1,10.0,10,False
BRENT_session,mcx_tail,7,sustained_major_reescalation_hormuz_war,Q1_0_25,3,30.0,10,False
BRENT_session,mcx_tail,7,sustained_major_reescalation_hormuz_war,Q2_25_50,3,30.0,10,False
BRENT_session,mcx_tail,7,sustained_major_reescalation_hormuz_war,Q3_50_75,1,10.0,10,False
BRENT_session,mcx_tail,7,sustained_major_reescalation_hormuz_war,Q4_75_90,2,20.0,10,False
BRENT_session,mcx_tail,7,sustained_major_reescalation_hormuz_war,Q5_90_100,1,10.0,10,False
BRENT_session,other_valid_hours,7,sustained_major_reescalation_hormuz_war,Q1_0_25,4,40.0,10,False
BRENT_session,other_valid_hours,7,sustained_major_reescalation_hormuz_war,Q2_25_50,1,10.0,10,False
BRENT_session,other_valid_hours,7,sustained_major_reescalation_hormuz_war,Q3_50_75,2,20.0,10,False
BRENT_session,other_valid_hours,7,sustained_major_reescalation_hormuz_war,Q4_75_90,3,30.0,10,False
BRENT_session,us_open,7,sustained_major_reescalation_hormuz_war,Q1_0_25,4,20.0,20,False
BRENT_session,us_open,7,sustained_major_reescalation_hormuz_war,Q2_25_50,5,25.0,20,False
BRENT_session,us_open,7,sustained_major_reescalation_hormuz_war,Q3_50_75,6,30.0,20,False
BRENT_session,us_open,7,sustained_major_reescalation_hormuz_war,Q4_75_90,2,10.0,20,False
BRENT_session,us_open,7,sustained_major_reescalation_hormuz_war,Q5_90_100,3,15.0,20,False
BRENT_session,us_pre_open,7,sustained_major_reescalation_hormuz_war,Q2_25_50,3,30.0,10,False
BRENT_session,us_pre_open,7,sustained_major_reescalation_hormuz_war,Q3_50_75,4,40.0,10,False
BRENT_session,us_pre_open,7,sustained_major_reescalation_hormuz_war,Q4_75_90,1,10.0,10,False
