stream,phase_id,phase_label,day_archetype,current_window,n_observations,top_next_window,pct_up_next,pct_down_next,pct_flat_next,low_confidence_flag,expectancy_raw,expectancy_shrunk,expectancy_shrunk_var,win_rate_raw,win_rate_shrunk,win_rate_shrunk_var
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,us_open,20,mcx_tail,45.0,5.0,50.0,False,0.4,0.2169421487603306,0.07411119486157053,0.45,0.41260330578512394,0.02570648662215154
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,us_pre_open,10,us_open,50.0,10.0,40.0,False,0.4,0.15592286501377411,0.09881492648209404,0.5,0.41680440771349864,0.03427531549620205
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,europe_midday,5,us_pre_open,60.0,40.0,0.0,False,0.2,0.06710743801652892,0.11857791177851285,0.6,0.42016528925619834,0.04113037859544246
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,global_reopen_pre_mcx,5,mcx_open_drive,60.0,0.0,40.0,False,0.6,0.14710743801652892,0.11857791177851285,0.6,0.42016528925619834,0.04113037859544246
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,india_midday,5,europe_midday,0.0,60.0,40.0,False,-0.6,-0.09289256198347107,0.11857791177851285,0.0,0.30016528925619834,0.04113037859544246
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,india_morning,5,india_midday,40.0,40.0,20.0,False,0.0,0.02710743801652892,0.11857791177851285,0.4,0.38016528925619836,0.04113037859544246
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,mcx_open_drive,5,india_morning,60.0,40.0,0.0,False,0.2,0.06710743801652892,0.11857791177851285,0.6,0.42016528925619834,0.04113037859544246
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,mcx_tail,5,other_valid_hours,20.0,20.0,60.0,False,0.0,0.02710743801652892,0.11857791177851285,0.2,0.3401652892561983,0.04113037859544246
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,us_open,10,mcx_tail,20.0,20.0,60.0,False,0.0,0.02258953168044077,0.09881492648209404,0.2,0.3168044077134986,0.03427531549620205
BRENT_session,2.0,post_ceasefire_complex,gap_and_hold_up,us_pre_open,5,us_open,40.0,40.0,20.0,False,0.0,0.02710743801652892,0.11857791177851285,0.4,0.38016528925619836,0.04113037859544246
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,europe_midday,12,us_pre_open,41.66666666666667,33.33333333333333,25.0,False,0.08333333333333343,0.05242768595041326,0.09263899357696316,0.41666666666666674,0.390754132231405,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,global_reopen_pre_mcx,12,mcx_open_drive,33.33333333333333,25.0,41.66666666666667,False,0.08333333333333329,0.05242768595041321,0.09263899357696316,0.33333333333333326,0.3595041322314049,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,india_midday,12,europe_midday,25.0,58.333333333333336,16.666666666666664,False,-0.33333333333333337,-0.10382231404958678,0.09263899357696316,0.25,0.328254132231405,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,india_morning,12,india_midday,25.0,66.66666666666666,8.333333333333332,False,-0.4166666666666666,-0.13507231404958672,0.09263899357696316,0.25,0.328254132231405,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,mcx_open_drive,12,india_morning,33.33333333333333,41.66666666666667,25.0,False,-0.08333333333333343,-0.010072314049586813,0.09263899357696316,0.33333333333333326,0.3595041322314049,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,mcx_tail,12,other_valid_hours,50.0,16.666666666666664,33.33333333333333,False,0.33333333333333337,0.14617768595041325,0.09263899357696316,0.5,0.422004132231405,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,us_open,24,mcx_tail,37.5,41.66666666666667,20.833333333333336,False,-0.04166666666666671,-0.007325319308790414,0.06737381351051866,0.375,0.3750939143501127,0.023369533292865032
BRENT_session,2.0,post_ceasefire_complex,whipsaw_two_sided,us_pre_open,12,us_open,50.0,33.33333333333333,16.666666666666664,False,0.1666666666666667,0.08367768595041324,0.09263899357696316,0.5,0.422004132231405,0.03213310827768942
BRENT_session,3.0,strong_escalation_op_rising_lion,all_day_trend_down,us_open,4,mcx_tail,25.0,25.0,50.0,True,0.0,0.02823691460055096,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
BRENT_session,4.0,naval_blockade_removed,whipsaw_two_sided,global_reopen_pre_mcx,3,mcx_open_drive,0.0,66.66666666666666,33.33333333333333,True,-0.6666666666666665,-0.05749191519942506,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
BRENT_session,4.0,naval_blockade_removed,whipsaw_two_sided,us_open,4,mcx_tail,75.0,25.0,0.0,True,0.5,0.11157024793388429,0.12351865810261756,0.75,0.43767217630853994,0.042844144370252565
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,europe_midday,3,us_pre_open,0.0,100.0,0.0,True,-1.0,-0.10097017606899031,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,global_reopen_pre_mcx,3,mcx_open_drive,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,india_midday,3,europe_midday,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,india_morning,3,india_midday,0.0,100.0,0.0,True,-1.0,-0.10097017606899031,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,mcx_open_drive,3,india_morning,0.0,0.0,100.0,True,0.0,0.02946460653970535,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,mcx_tail,3,other_valid_hours,0.0,66.66666666666666,33.33333333333333,True,-0.6666666666666665,-0.05749191519942506,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,us_open,6,mcx_tail,50.0,16.666666666666664,33.33333333333333,False,0.33333333333333337,0.10298792116973937,0.11401722286395466,0.5,0.40400508582326766,0.03954844095715621
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,us_pre_open,3,us_open,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
