signal,n_trades,win_rate,avg_pnl,total_pnl_pct,profit_factor,expectancy,sharpe,max_dd
BRENT|2|all_day_trend_up|mcx_open_drive,9,88.88888888888889,0.5887378043978598,5.298640239580738,11.479049144640058,0.5887378043978598,17.14909525490077,-533.8775106393831
BRENT|2|all_day_trend_up|us_pre_open,10,70.0,0.5650736157863441,5.650736157863441,5.038672258733677,0.5650736157863441,7.402500930838661,-19.23662596215809
WTI|10|whipsaw_two_sided|us_pre_open,6,83.33333333333334,0.5295924284072936,3.1775545704437618,4.790843860517436,0.5295924284072936,12.186906669305236,-87.39503505456926
BRENT|2|all_day_trend_down|europe_midday,12,50.0,0.5225947676307733,6.271137211569279,2.011200322344521,0.5225947676307733,4.482701756063286,-50.08083718304922
WTI|10|all_day_trend_up|us_pre_open,5,100.0,0.49969415065469197,2.49847075327346,inf,0.49969415065469197,45.11157439072591,0.0
WTI|1|mixed_regime|europe_midday,4,50.0,0.36914256374133464,1.4765702549653386,4.873463644081954,0.36914256374133464,6.370183163222502,-4.579466185330632
BRENT|2|gap_and_hold_up|global_reopen_pre_mcx,5,60.0,0.34459507424544433,1.7229753712272218,9.159262984158895,0.34459507424544433,11.454161337819272,-8.603366890012362
WTI|1|whipsaw_two_sided|us_pre_open,6,66.66666666666666,0.33833190802942187,2.0299914481765313,2.582277419171784,0.33833190802942187,6.686109141745276,-30.77876054630219
WTI|1|whipsaw_two_sided|us_open,6,66.66666666666666,0.33833190802942187,2.0299914481765313,2.582277419171784,0.33833190802942187,6.686109141745276,-30.77876054630219
BRENT|2|gap_and_hold_up|us_pre_open,5,60.0,0.3156037177597985,1.5780185887989926,5.087676815192968,0.3156037177597985,8.428590053373831,-23.595939545533593
BRENT|2|whipsaw_two_sided|us_pre_open,12,50.0,0.2704574675711458,3.2454896108537494,2.0077005825597762,0.2704574675711458,4.178563618655461,-35.92859286192921
BRENT|2|whipsaw_two_sided|india_midday,12,66.66666666666666,0.24424353357458597,2.930922402895032,1.875056210848335,0.24424353357458597,4.125574785801078,-64.66791307892254
BRENT|2|all_day_trend_up|india_midday,10,50.0,0.21449233324078776,2.1449233324078776,1.5060758445380689,0.21449233324078776,2.2720249611161356,-75.49327555897199
WTI|5|all_day_trend_down|us_open,3,66.66666666666666,0.20745234560343614,0.6223570368103084,6.3926003441120836,0.20745234560343614,11.427483596228265,-38.585392630080776
WTI|1|whipsaw_two_sided|europe_midday,6,83.33333333333334,0.19262152910538366,1.155729174632302,1.3923897754860803,0.19262152910538366,1.968604291580818,-245.75287118601761
BRENT|7|whipsaw_two_sided|global_reopen_pre_mcx,4,75.0,0.18422334246172056,0.7368933698468823,4.230765063475589,0.18422334246172056,10.207776874795963,-31.41619409693128
BRENT|2|whipsaw_two_sided|mcx_open_drive,12,58.333333333333336,0.1759726367158558,2.1116716405902696,1.770294577495742,0.1759726367158558,3.928033593850211,-49.80753887764956
BRENT|7|mixed_regime|global_reopen_pre_mcx,3,33.33333333333333,0.16303576749869333,0.48910730249608003,3.3987861952914984,0.16303576749869333,5.626027747488376,0.0
BRENT|7|whipsaw_two_sided|europe_midday,4,50.0,0.15299642889660336,0.6119857155864135,1.1746788567744801,0.15299642889660336,0.9729886187011122,-572.4791302538999
BRENT|2|all_day_trend_down|global_reopen_pre_mcx,12,75.0,0.1433641732384211,1.7203700788610532,4.8434340538271154,0.1433641732384211,8.92311852576199,-10.77892290271274
BRENT|2|all_day_trend_up|global_reopen_pre_mcx,9,55.55555555555556,0.08622200029456219,0.7759980026510597,2.3049111771511264,0.08622200029456219,5.438378659611973,-57.18258739902484
BRENT|2|all_day_trend_down|us_pre_open,12,58.333333333333336,0.04160112563486515,0.4992135076183818,1.160480341766783,0.04160112563486515,0.8821694832066459,-134.21202227341
BRENT|2|whipsaw_two_sided|global_reopen_pre_mcx,12,41.66666666666667,0.01910227036637106,0.2292272443964527,1.0997141844704894,0.01910227036637106,0.6241448628270088,-91.27978642276348
WTI|10|all_day_trend_up|india_midday,5,60.0,0.0101372534987626,0.050686267493813,1.0269254629422393,0.0101372534987626,0.17986890234417968,-133.07461971588367
BRENT|2|all_day_trend_down|mcx_open_drive,12,58.333333333333336,7.298510244269085e-05,0.0008758212293122902,1.000241214083812,7.298510244269085e-05,0.0014268508003916448,-99.9448012319507
WTI|1|mixed_regime|us_pre_open,4,50.0,-0.03545489457802897,-0.1418195783121159,0.9610008135363226,-0.03545489457802897,-0.23337727989984927,-0.0
BRENT|2|gap_and_hold_up|mcx_open_drive,5,60.0,-0.10746075649403874,-0.5373037824701937,0.7411301784898059,-0.10746075649403874,-1.9395661216384708,-0.0
WTI|5|whipsaw_two_sided|us_open,3,33.33333333333333,-0.16718750187390427,-0.5015625056217128,0.3003393689199322,-0.16718750187390427,-7.267221417296719,-332.95668283387494
BRENT|2|all_day_trend_up|europe_midday,10,60.0,-0.17555564026671916,-1.7555564026671917,0.6321426472854985,-0.17555564026671916,-2.7919278923978297,-0.0
BRENT|2|whipsaw_two_sided|europe_midday,12,50.0,-0.17884260505839014,-2.146111260700682,0.7922325177619347,-0.17884260505839014,-1.5665267540335794,-178.7702165277289
BRENT|2|gap_and_hold_up|india_morning,5,40.0,-0.26644998447515283,-1.3322499223757642,0.47716044944122277,-0.26644998447515283,-4.234117861137537,-0.0
WTI|1|mixed_regime|us_open,4,25.0,-0.9180433147679388,-3.672173259071755,0.15839320189349188,-0.9180433147679388,-9.689139183828539,-0.0
