stream,phase_id,phase_label,day_archetype,current_window,top_next_window,n_observations,freq_up,freq_down,freq_flat,bayes_mean_up,bayes_mean_down,bayes_mean_flat,hdi_up_lower,hdi_up_upper,hdi_down_lower,hdi_down_upper,hdi_flat_lower,hdi_flat_upper,bayes_n_eff
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,us_open,mcx_tail,8,25.0,25.0,50.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.020740128886248488,0.5247144165682969,0.020740128886248488,0.5247144165682969,0.17281526300318073,0.7362756460877283,11.0
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,us_pre_open,us_open,4,25.0,50.0,25.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5987638025642563,0.0856428645817836,0.7714999925610735,0.0,0.5987638025642563,7.0
BRENT_session,9.0,ceasefire_pause_breakdown_renewed_escalation,whipsaw_two_sided,us_open,mcx_tail,4,0.0,50.0,50.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.38534425591678567,0.0856428645817836,0.7714999925610735,0.0856428645817836,0.7714999925610735,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,europe_midday,us_pre_open,4,50.0,25.0,25.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0856428645817836,0.7714999925610735,0.0,0.5987638025642563,0.0,0.5987638025642563,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,global_reopen_pre_mcx,mcx_open_drive,4,0.0,50.0,50.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.38534425591678567,0.0856428645817836,0.7714999925610735,0.0856428645817836,0.7714999925610735,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,india_midday,europe_midday,4,50.0,50.0,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0856428645817836,0.7714999925610735,0.0856428645817836,0.7714999925610735,0.0,0.38534425591678567,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,india_morning,india_midday,4,75.0,25.0,0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.22850000743892646,0.9143571354182163,0.0,0.5987638025642563,0.0,0.38534425591678567,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,mcx_open_drive,india_morning,4,50.0,25.0,25.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0856428645817836,0.7714999925610735,0.0,0.5987638025642563,0.0,0.5987638025642563,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,mcx_tail,other_valid_hours,4,25.0,25.0,50.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5987638025642563,0.0,0.5987638025642563,0.0856428645817836,0.7714999925610735,7.0
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,us_open,mcx_tail,8,87.5,0.0,12.5,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.4752855834317031,0.9792598711137515,0.0,0.25356609283486753,0.0,0.40004544981159224,11.0
